0	nan	nan	nan	
20	1.100790	1.065160	1.149530	
40	1.282503	1.274319	1.289853	
60	1.366231	1.378308	1.354695	
80	1.501285	1.515784	1.490387	
100	1.631516	1.658908	1.608858	
120	1.771478	1.791519	1.756216	
140	1.913299	1.913027	1.913563	
160	2.049963	2.029994	2.073229	
180	2.182012	2.169842	2.196640	
200	2.258042	2.242140	2.282741	
220	2.278039	2.255669	2.300708	
240	2.356883	2.344746	2.367165	
260	2.410776	2.382573	2.457212	
280	2.464822	2.449152	2.479470	
