0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000	90.000000	45.000000	45.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.000000	0.000000	0.000000	99.000000	48.600000	50.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
60	0.000000	0.000000	0.000000	108.090000	46.836000	61.254000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
80	0.000000	0.000000	0.000000	144.324000	75.672000	68.652000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100	0.000000	0.000000	0.000000	175.680540	86.814180	88.866360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
120	0.000000	0.000000	0.000000	173.379600	85.698900	87.680700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
140	0.000000	0.000000	0.000000	171.300964	86.476502	84.824462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
160	0.000000	0.000000	0.000000	169.016253	83.461507	85.554746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
180	0.000000	0.000000	0.000000	174.508108	86.014120	88.493988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
200	0.000000	0.000000	0.000000	182.057754	94.282348	87.775406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
220	0.000000	0.000000	0.000000	185.210285	96.331771	88.878514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
240	0.000000	0.000000	0.000000	169.419589	83.692241	85.727348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
260	0.000000	0.000000	0.000000	187.022288	94.798329	92.223959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
280	0.000000	0.000000	0.000000	182.119936	87.063868	95.056068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
300	0.000000	0.000000	0.000000	183.804269	90.541768	93.262501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
320	0.000000	0.000000	0.000000	185.391951	99.714086	85.677865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
340	0.000000	0.000000	0.000000	176.739145	80.248220	96.490925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
360	0.000000	0.000000	0.000000	188.057623	89.121414	98.936209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
380	0.000000	0.000000	0.000000	180.295147	97.878022	82.417125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
400	0.000000	0.000000	0.000000	182.557973	94.323673	88.234300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
420	0.000000	0.000000	0.000000	163.296311	79.751697	83.544614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
440	0.000000	0.000000	0.000000	148.831769	63.590584	85.241185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
460	0.000000	0.000000	0.000000	119.485278	63.288004	56.197274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
480	0.000000	0.000000	0.000000	97.814550	50.987956	46.826594	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
500	0.000000	0.000000	0.000000	89.040404	46.232181	42.808223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
520	0.000000	0.000000	0.000000	76.989712	45.434290	31.555422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
540	0.000000	0.000000	0.000000	85.048074	53.232661	31.815413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
560	0.000000	0.000000	0.000000	84.702748	45.633543	39.069205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
580	0.000000	0.000000	0.000000	110.426488	52.418060	58.008428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
600	0.000000	0.000000	0.000000	129.650925	70.489524	59.161401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
620	0.000000	0.000000	0.000000	152.696439	85.442719	67.253720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
640	0.000000	0.000000	0.000000	209.515010	100.987748	108.527262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
660	0.000000	0.000000	0.000000	211.897124	110.458541	101.438583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
680	0.000000	0.000000	0.000000	220.787310	110.838300	109.949010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
700	0.000000	0.000000	0.000000	218.119546	112.066496	106.053050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
