0	nan	nan
20	0.800000	0.800000
40	0.800021	0.800021
60	0.800445	0.800460
80	0.801062	0.801159
100	0.802003	0.802123
120	0.803241	0.803401
140	0.804820	0.804950
160	0.806598	0.806800
180	0.808551	0.808886
200	0.810628	0.811032
220	0.812920	0.813255
240	0.815365	0.815524
260	0.818143	0.818267
280	0.820780	0.821299
300	0.823736	0.824250
320	0.826950	0.827078
340	0.830324	0.830252
360	0.833718	0.833784
380	0.837166	0.837303
400	0.840604	0.840984
420	0.844042	0.845057
440	0.848376	0.848857
460	0.852813	0.853013
480	0.856597	0.856426
500	0.859811	0.860594
520	0.863502	0.864241
540	0.866540	0.867648
560	0.869955	0.871469
580	0.873620	0.874617
600	0.876818	0.876917
620	0.880434	0.880507
640	0.883696	0.882972
660	0.886551	0.887136
680	0.891391	0.890595
700	0.895436	0.894380
720	0.899855	0.898982
740	0.905318	0.904134
760	0.908996	0.907709
780	0.915071	0.913122
800	0.919179	0.917418
820	0.925251	0.922034
840	0.931264	0.927903
860	0.936371	0.932864
880	0.940594	0.938219
900	0.945852	0.942993
920	0.951009	0.947947
940	0.954881	0.952942
960	0.959600	0.957340
980	0.964887	0.962581
1000	0.968123	0.965013
