40	1.000092	nan
60	1.000137	nan
80	1.000179	nan
100	1.000199	nan
120	1.000228	nan
140	1.000214	nan
160	1.000254	nan
180	1.000263	nan
200	1.000315	nan
220	1.000347	nan
240	1.000402	nan
260	1.000448	nan
280	1.000562	nan
300	1.000807	nan
320	1.001235	nan
340	1.002337	nan
360	1.003388	nan
380	1.005665	nan
400	1.007043	nan
420	1.010064	nan
440	1.012343	nan
460	1.015670	nan
480	1.017679	nan
500	1.021357	nan
520	1.023326	nan
540	1.026222	nan
560	1.029609	nan
580	1.033011	nan
600	1.035131	nan
620	1.039430	nan
640	1.042509	nan
660	1.045629	nan
680	1.048550	nan
700	1.052390	nan
720	1.055138	nan
740	1.057923	nan
760	1.061608	nan
780	1.064516	nan
800	1.067375	nan
820	1.070838	nan
840	1.072983	nan
860	1.076971	nan
880	1.078060	nan
900	1.081625	nan
920	1.082894	nan
940	1.085647	nan
960	1.088561	nan
980	1.090732	nan
1000	1.092533	nan
1020	1.095482	nan
1040	1.097204	nan
1060	1.101040	nan
1080	1.104323	nan
1100	1.109540	nan
1120	1.113279	nan
1140	1.120868	nan
1160	1.125552	nan
1180	1.132602	nan
1200	1.138558	nan
1220	1.147443	nan
1240	1.153660	nan
1260	1.162548	nan
1280	1.168571	nan
1300	1.178638	nan
1320	1.185321	nan
1340	1.195788	nan
1360	1.201829	nan
1380	1.212178	nan
1400	1.219929	nan
1420	1.229817	nan
1440	1.236573	nan
1460	1.245926	nan
1480	1.254250	nan
1500	1.264779	nan
