0	1.000000	1.000000	nan
20	0.399375	0.399375	nan
40	0.465000	0.465000	nan
60	0.403125	0.403125	nan
80	0.460625	0.460625	nan
100	0.433125	0.433125	nan
120	0.470000	0.470000	nan
140	0.390625	0.390625	nan
160	0.376250	0.376250	nan
180	0.276875	0.276875	nan
200	0.245625	0.245625	nan
220	0.271250	0.271250	nan
240	0.210000	0.210000	nan
260	0.129375	0.129375	nan
280	0.111875	0.111875	nan
300	0.000000	0.000000	nan
320	0.035625	0.035625	nan
340	0.003125	0.003125	nan
360	0.022500	0.022500	nan
380	0.000000	0.000000	nan
400	0.051250	0.051250	nan
420	0.003125	0.003125	nan
440	0.021875	0.021875	nan
460	0.067500	0.067500	nan
480	0.000000	0.000000	nan
500	0.000000	0.000000	nan
520	0.023125	0.023125	nan
540	0.068125	0.068125	nan
560	0.001875	0.001875	nan
580	0.009375	0.009375	nan
600	0.086250	0.086250	nan
620	0.004375	0.004375	nan
640	0.000000	0.000000	nan
660	0.108750	0.108750	nan
680	0.005625	0.005625	nan
700	0.000000	0.000000	nan
720	0.031250	0.031250	nan
740	0.050000	0.050000	nan
760	0.000000	0.000000	nan
780	0.030000	0.030000	nan
800	0.077500	0.077500	nan
820	0.000000	0.000000	nan
840	0.067500	0.067500	nan
860	0.054375	0.054375	nan
880	0.000000	0.000000	nan
900	0.050625	0.050625	nan
920	0.021250	0.021250	nan
940	0.006875	0.006875	nan
960	0.035000	0.035000	nan
980	0.045000	0.045000	nan
1000	0.040625	0.040625	nan
1020	0.044375	0.044375	nan
1040	0.016250	0.016250	nan
1060	0.056250	0.056250	nan
1080	0.042500	0.042500	nan
1100	0.046875	0.046875	nan
1120	0.043125	0.043125	nan
1140	0.038125	0.038125	nan
1160	0.032500	0.032500	nan
1180	0.022500	0.022500	nan
1200	0.018750	0.018750	nan
1220	0.056250	0.056250	nan
1240	0.013750	0.013750	nan
1260	0.058750	0.058750	nan
1280	0.016250	0.016250	nan
1300	0.025000	0.025000	nan
1320	0.052500	0.052500	nan
1340	0.043125	0.043125	nan
1360	0.032500	0.032500	nan
1380	0.048750	0.048750	nan
1400	0.049375	0.049375	nan
1420	0.026875	0.026875	nan
1440	0.048750	0.048750	nan
1460	0.035000	0.035000	nan
1480	0.022500	0.022500	nan
1500	0.051875	0.051875	nan
